Area	Canonical Subtopic	Object tag	Technique tag	Lemma/Theorem tag	Proof role	Raw imported tag
Algebra	Polynomials and algebraic manipulation	binomial coefficients	binomial expansion	NULL	coefficient extraction	BINOMIALS
Combinatorics	Graph theory	bipartite graph	2-coloring	NULL	modeling	BIPARTITE 2-COLORING
Combinatorics	Graph theory	bipartite covering	covering argument	NULL	covering	BIPARTITE COVERING
Combinatorics	Graph theory	bipartite covering	covering argument	NULL	covering	BIPARTITE COVERINGS
Combinatorics	Graph theory	bipartite degree sequence	degree constraints	NULL	characterization	BIPARTITE DEGREE SEQUENCES
Combinatorics	Graph theory	bipartite graph	edge coloring	Kőnig edge-coloring theorem	coloring	BIPARTITE EDGE COLORING
Combinatorics	Graph theory	bipartite graph	graph model	NULL	modeling	BIPARTITE GRAPH
Algebra	Polynomials and algebraic manipulation	bipartite graph factor	factorization	NULL	structural reduction	BIPARTITE GRAPH FACTOR
Combinatorics	Graph theory	bipartite graph	graph model	NULL	modeling	BIPARTITE GRAPH MODEL
Combinatorics	Graph theory	bipartite graph	degree constraints	NULL	bounding	BIPARTITE GRAPHS / DEGREE CONSTRAINTS
Combinatorics	Graph theory	bipartite incidence graph	incidence counting	NULL	modeling	BIPARTITE INCIDENCE
Combinatorics	Graph theory	bipartite matching	Hall condition	Hall's theorem	existence	BIPARTITE MATCHING/HALL
Combinatorics	Graph theory	bipartite regular graph	regularity argument	NULL	structural classification	BIPARTITE REGULARITY
Combinatorics	Graph theory	bipartite structure	bipartite modeling	NULL	modeling	BIPARTITE STRUCTURES
Combinatorics	Graph theory	bipartite walks	walk counting	NULL	counting	BIPARTITE WALKS
Combinatorics	Graph theory	rows and columns	bipartite modeling	NULL	modeling	BIPARTITE/ROWS–COLUMNS
Combinatorics	Graph theory	bipartition	2-part decomposition	NULL	structural setup	BIPARTITION
Combinatorics	Combinatorial algebra and counting	doubly stochastic matrix	matrix decomposition	Birkhoff-von Neumann theorem	decomposition	BIRKHOFF
Combinatorics	Graph theory	graph bisection	width bound	NULL	extremal bound	BISECTION WIDTH
Algebra	Polynomials and algebraic manipulation	bivariate polynomial	polynomial method	NULL	coefficient/zero analysis	BIVARIATE POLYNOMIALS
Algebra	Inequalities and optimization	random events/probability	negative correlation inequality	BK-type inequality	bounding	BK-TYPE INEQUALITY
Combinatorics	Algorithms, automata, words, and constructive combinatorics	block structure	local constraints	NULL	structural constraint	BLOCK CONSTRAINTS
Combinatorics	Set systems, posets, and extremal set theory	block design	design argument	NULL	construction	BLOCK DESIGN
Combinatorics	Algorithms, automata, words, and constructive combinatorics	block process	dynamics	NULL	invariant	BLOCK DYNAMICS
Algebra	Algebraic structures and linear algebra	block matrix	matrix decomposition	NULL	structural reduction	BLOCK MATRICES
Combinatorics	Combinatorial algebra and counting	block matrix	matrix counting	NULL	counting	BLOCK MATRIX COUNTING
Number Theory	Divisibility, gcd, lcm, and primes	blocks	block decomposition	NULL	reduction	BLOCK METHODS
Number Theory	Sequences and recurrences	blocks	repetition pattern	NULL	periodicity	BLOCK REPETITION
Number Theory	Divisibility, gcd, lcm, and primes	blocks	block splitting	NULL	case reduction	BLOCK SPLITTING
Algebra	Sequences, recurrences, and series	block sums	partial-sum grouping	NULL	bounding	BLOCK SUMS
Combinatorics	Graph theory	block-cut tree	block-cut decomposition	NULL	structural decomposition	BLOCK-CUT STRUCTURE
Algebra	Sequences, recurrences, and series	block recurrence	block construction	NULL	construction	BLOCK/RECURRENCE CONSTRUCTIONS
Combinatorics	Set systems, posets, and extremal set theory	partitions	blocking argument	NULL	obstruction	BLOCKING PARTITIONS
Combinatorics	Combinatorial geometry	blocking set	incidence blocking	NULL	obstruction	BLOCKING SETS
Combinatorics	Games and strategies	blocking strategy	strategy stealing/blocking	NULL	obstruction	BLOCKING STRATEGIES
Combinatorics	Algorithms, automata, words, and constructive combinatorics	blocks	block decomposition	NULL	structural setup	BLOCKS
Algebra	Extremal methods, monotonicity, and invariants	blow-up configuration	scaling/blow-up	NULL	extremal construction	BLOW-UP
Number Theory	Divisibility, gcd, lcm, and primes	integer configuration	blow-up argument	NULL	contradiction	BLOW-UP ARGUMENT
Combinatorics	Coloring, tiling, grids, and invariants	board	board coloring	NULL	invariant	BOARD COLORING
Combinatorics	Coloring, tiling, grids, and invariants	board cuts	coloring and cutting	NULL	obstruction	BOARD COLORING/CUTS
Combinatorics	Coloring, tiling, grids, and invariants	board	local constraints	NULL	obstruction	BOARD CONSTRAINTS
Combinatorics	Combinatorial algebra and counting	board configurations	board counting	NULL	counting	BOARD COUNTING
