Area	Canonical Subtopic	Object tag	Technique tag	Lemma/Theorem tag	Proof role	Raw imported tag
Number Theory	Rationality, integrality, and algebraic number structure	rational values	rationality analysis	rationality criteria	criterion	RATIONAL STEP SIZES; RATIONAL VALUES; RATIONALITY CRITERIA; RATIONAL/IRRATIONAL SPLIT
Algebra	Equations, substitutions, and transformations	rational expression	rational substitution		reduction	RATIONAL SUBSTITUTION; RATIONAL TRANSFORMS; REPARAMETRIZATION
Algebra	Symmetric algebra and identities	symmetric sums	rational bash	Newton sums	computation	RATIONAL SYMMETRIC SUMS; SYMMETRIC RATIONAL BASH; SYMMETRIC SUMS/NEWTON SUMS
Algebra	Sequences, recurrences, and series	telescoping sum	rational telescoping		simplification	RATIONAL TELESCOPING
Geometry	Geometry-flavored algebra	rational triangle	parametrization		construction	RATIONAL TRIANGLES
Geometry	Geometry-flavored algebra	cevian ratios	ratio chase	Ceva	computation	RATIOS ON CEVIANS
Algebra	Equations, substitutions, and transformations	triangle semiperimeter variables	Ravi substitution		reduction	RAVI-TYPE SUBSTITUTION; UVW/RAVI
Algebra	Algebraic structures and linear algebra	quadratic form	Rayleigh quotient	Cauchy-Schwarz	extremal bound	RAYLEIGH QUOTIENT; RAYLEIGH QUOTIENTS/CS
Combinatorics	Set systems, posets, and extremal set theory	reachability poset	antichain argument		obstruction	REACHABILITY POSETS; REACHABILITY/ANTICHAINS
Combinatorics	Games, strategies, and processes	reachable states	state recursion		invariant	REACHABLE STATES; REACHABLE STATES / RECURSION
Algebra	Algebraic structures and linear algebra	real linear map	linear algebra		structure	REAL LINEAR MAPS; REAL-LINEAR MAPS; SEMILINEAR MAPS
Algebra	Polynomials and algebraic manipulation	real roots	root counting		criterion	REAL ROOT COUNTING; REAL-ROOT CRITERIA; REAL-ROOT STRUCTURE
Algebra	Polynomials and algebraic manipulation	real-rooted polynomial	factorization; interlacing		obstruction	REAL-ROOT FACTORIZATION; REAL-ROOT INTERLACING; REAL-ROOT OBSTRUCTION; REAL-ROOTEDNESS / SYMMETRIC SUMS / FACTOR SELECTION
Algebra	Sequences, recurrences, and series	real sequence	Sidon-style structure		bound	REAL SEQUENCES/SIDON FLAVOR
Algebra	Equations, substitutions, and transformations	reciprocal expression	reciprocal substitution; reciprocal linearization		reduction	RECIPROCAL LINEARIZATION; RECIPROCAL MAP; RECIPROCAL NORMALIZATION; RECIPROCAL SUBSTITUTION
Algebra	Polynomials and algebraic manipulation	reciprocal polynomial	reciprocal factor analysis		factorization	RECIPROCAL COEFFICIENTS; RECIPROCAL FACTORS; RECIPROCAL POLYNOMIAL; RECIPROCAL/CYCLOTOMIC FLAVOR
Algebra	Inequalities and optimization	reciprocal inequality	bounding		inequality proof	RECIPROCAL INEQUALITY; WEIGHTED RECIPROCAL BOUNDS
Geometry	Circle geometry	reciprocal distances	distance lemma	reciprocal theorem	criterion	RECIPROCAL THEOREM; RECIPROCAL-DISTANCE LEMMAS
Number Theory	Additive and multiplicative number theory	reciprocity structure	descent	reciprocity	descent	RECIPROCITY; RECIPROCAL/SELF-RECIPROCAL ANALYSIS
Combinatorics	Games, strategies, and processes	reconfiguration graph	state transition		reachability	RECONFIGURATION; REVERSIBILITY
Geometry	Synthetic and metric geometry	rectangle	midpoint / diagonal geometry		criterion	RECTANGLE; RECTANGLE CRITERION; RECTANGLE SYMMETRY
Combinatorics	Coloring, tiling, grids, and invariants	rectangle grid	packing; partition; stabbing		obstruction	RECTANGLE OBSTRUCTION; RECTANGLE PACKING; RECTANGLE PARTITION; RECTANGLE PARTITIONS; RECTANGLE STABBING
Geometry	Geometry-flavored algebra	rectangle in triangle	area / ratio algebra		construction	RECTANGLES IN TRIANGLES
Combinatorics	Coloring, tiling, grids, and invariants	rectangular dissection	tiling invariant		decomposition	RECTANGULAR DISSECTIONS; RECTANGULAR TILINGS; RECTANGULATIONS
Algebra	Sequences, recurrences, and series	recurrence	recurrence relation	Mobius map	iteration	RECURRENCE / MÖBIUS MAP; RECURRENCE AROUND A CYCLE; RECURRENCE OPTIMIZATION; RECURRENCE STABILITY
Algebra	Sequences, recurrences, and series	recurrence	automaton; interval dynamics		state evolution	RECURRENCE/AUTOMATON; RECURRENCE/INTERVAL DYNAMICS; RECURRENCES OVER F2
Algebra	Sequences, recurrences, and series	recursive structure	recursion; induction		characterization	RECURSION/GROWTH; RECURSIVE ALGORITHMS; RECURSIVE CHARACTERIZATION; RECURSIVE FAMILIES
Algebra	Sequences, recurrences, and series	recursive polynomial	recursive definition		construction	RECURSIVE POLYNOMIALS; STERN-TYPE POLYNOMIALS
Algebra	Algebraic structures and linear algebra	ring	ring invariant		invariant	REDUCED RINGS; RING THEORY; RING INVARIANTS; UNIT GROUP; UFD
Number Theory	Congruences and residues	residue class	modular reduction		obstruction	REDUCIBILITY MOD PPP; RESIDUES MOD 20; RESIDUES MOD N
Geometry	Transformational geometry	reflection	reflection trick		construction	REFLECTED CIRCUMCIRCLE; REFLECTED LINES; REFLECTION GEOMETRY; REFLECTION TRICK
Geometry	Circle geometry	reflected circle / tangent	reflection about tangent	tangent-chord theorem	angle chase	REFLECTION ABOUT TANGENT AT A; REFLECTIONS / CIRCLE GEOMETRY / SYMMETRY
Geometry	Transformational geometry	isogonal reflection	reflection / isogonal conjugacy		transformation	REFLECTION/ISOGONAL LINE; REFLECTIONS/ISOGONAL; REFLECTIONS/ISOGONAL CONJUGACY
Geometry	Transformational geometry	orthic triangle	reflection		configuration	REFLECTIONS/ORTHIC TRIANGLE
Combinatorics	Games, strategies, and processes	reflected state	mirroring	reflection principle	strategy	REFLECTION PRINCIPLE; REFLECTION/INVOLUTION; REFLECTIONS/TURNING
Combinatorics	Coloring, tiling, grids, and invariants	planar regions	region counting		counting	REGION COUNTING; REGION COMPLEXITY
Combinatorics	Combinatorial algebra and counting	region graph	graph model		encoding	REGION GRAPH
Geometry	Special configurations and special angles	regular polygon	regular polygon construction		construction	REGULAR DECAGON; REGULAR HEXAGON; REGULAR PENTAGON STRUCTURE; REGULAR POLYGON CONSTRUCTION
Geometry	Geometry-flavored algebra	regular polygon distances	metric algebra		computation	REGULAR POLYGON DISTANCES; REGULAR POLYGON WIDTHS
Combinatorics	Graph theory	regular graph	degree regularity		structure	REGULAR DIGRAPHS; REGULAR GRAPH; STRONGLY REGULAR GRAPHS
Combinatorics	Counting and enumerative combinatorics	regular polygon	orbit counting		counting	REGULAR POLYGON COUNTING
Geometry	Circle geometry	cyclic quadrilateral	REIM; radical axis; parallelism	REIM	criterion	REIM; REIM/PARALLELISM; REIM/RADICAL AXIS
Algebra	Equations, substitutions, and transformations	relative motion	speed-rate equation		modeling	RELATIVE SPEED; SPEED/DISTANCE; TIME/RATE
Combinatorics	Pigeonhole, extremal principle, and averaging	replacement structure	replacement argument		transformation	REPLACEMENT ARGUMENT
Number Theory	Rationality, integrality, and algebraic number structure	representation	representation argument		classification	REPRESENTATION; UNIQUE REPRESENTATION; UNIVERSAL SUBREPRESENTATION
Algebra	Algebraic structures and linear algebra	representation	representation theory		structure	REPRESENTATION THEORY
Combinatorics	Graph theory	route / path	rerouting		transformation	REROUTING
