Area	Canonical Subtopic	Object tag	Technique tag	Lemma/Theorem tag	Proof role	Raw imported tag
Algebra	Analytic estimates and asymptotics	discontinuity				DISCONTINUITY
Algebra	Extremal methods, monotonicity, and invariants		invariant, discrepancy method			DISCREPANCY/INVARIANTS
Number Theory	Number-theoretic algebra		discrepancy method, variance estimate		lower bound, bound	DISCREPANCY/VARIANCE LOWER BOUND
Combinatorics	Algorithms, automata, words, and constructive combinatorics	discrete algorithms	algorithmic construction			DISCRETE ALGORITHMS
Algebra	Inequalities and optimization	discrete brunn-minkowski	discrete convexity	Brunn-Minkowski inequality		DISCRETE BRUNN-MINKOWSKI
Algebra	Discrete functions, floors, rounding, and base representation	discrete differences	finite differences			DISCRETE DIFFERENCES
Algebra	Sequences, recurrences, and series	difference equation	finite differences			DISCRETE DIFFERENTIAL EQUATION
Algebra	Algebraic manipulation and equations	discrete energy	energy method			DISCRETE ENERGY
Algebra	Complex, trigonometric, and Fourier methods		Fourier orthogonality			DISCRETE FOURIER ORTHOGONALITY
Algebra	Functional equations	functional equation				DISCRETE FUNCTIONAL EQUATION
Algebra	Functional equations	functional equation				DISCRETE FUNCTIONAL EQUATIONS
Geometry	Euclidean geometry	geometry configuration	probabilistic method			DISCRETE GEOMETRY; PROBABILISTIC METHOD; SUBSET-SUM GEOMETRY
Algebra	Extremal methods, monotonicity, and invariants	discrete growth				DISCRETE GROWTH
Combinatorics	Pigeonhole, extremal principle, and averaging	discrete ham-sandwich flavor	analogy/flavor	ham sandwich theorem		DISCRETE HAM-SANDWICH FLAVOR
Combinatorics	Pigeonhole, extremal principle, and averaging	discrete harmonic functions				DISCRETE HARMONICITY
Algebra	Algebraic manipulation and equations		induction		inductive step	DISCRETE INDUCTION
Algebra	Inequalities and optimization					DISCRETE INEQUALITIES
Algebra	Discrete functions, floors, rounding, and base representation	discrete ivt		intermediate value theorem		DISCRETE IVT
Algebra	Inequalities and optimization		convexity	Jensen's inequality		DISCRETE JENSEN
Algebra	Analytic estimates and asymptotics	discrete Laplace equation				DISCRETE LAPLACE EQUATION
Algebra	Algebraic manipulation and equations			Leibniz rule		DISCRETE LEIBNIZ RULE
Number Theory	Modular arithmetic and residues	discrete logarithms				DISCRETE LOGS
Algebra	Algebraic manipulation and equations	discrete metric				DISCRETE METRIC
Algebra	Extremal methods, monotonicity, and invariants		monotonicity			DISCRETE MONOTONICITY
Combinatorics	Algorithms, automata, words, and constructive combinatorics	discrete motion				DISCRETE MOTION
Algebra	Analytic estimates and asymptotics	operator norm	norm estimate			DISCRETE OPERATOR NORM
Algebra	Inequalities and optimization	discrete functions		Poincare inequality		DISCRETE POINCARE
Combinatorics	Pigeonhole, extremal principle, and averaging	discrete potential	potential function			DISCRETE POTENTIAL
