Area	Canonical Subtopic	Object tag	Technique tag	Lemma/Theorem tag	Proof role	Raw imported tag
Geometry	Core Euclidean geometry	midpoint	homothety; vector; parallel line; affine transform	midpoint theorem; Varignon theorem	construction; ratio chase	MIDPOINT HOMOTHETY; MIDPOINT LEMMA; MIDPOINT LOCI; MIDPOINT PARALLELS; MIDPOINT VECTORS; MIDPOINT/PARALLELOGRAM; MIDPOINT/VARIGNON LINES; MIDPOINTS/AFFINE
Geometry	Circle geometry	midpoint on chord/circle	power; cyclic quadrilateral; chord midpoint	perpendicular from center to chord	angle chase; length chase	MIDPOINT/CHORD; MIDPOINT/CIRCLE GEOMETRY; MIDPOINTS CIRCLE
Geometry	Triangle centers and orthocentric geometry	midpoint with altitude/orthocenter/circumcenter	nine-point circle; Euler line; reflection	Euler circle; orthocenter reflection	configuration tracking	MIDPOINT/ALTITUDE GEOMETRY; MIDPOINT/CIRCUMCENTER SETUP; MIDPOINT/ORTHOCENTER GEOMETRY; ORTHOCENTERS & MIDPOINTS
Geometry	Triangle cevians and medians	midpoint-cevian configuration	median; mass points; affine coordinates	Ceva when applicable	ratio chase	MIDPOINTS/CEVIANS; PARALLELOGRAM/MEDIAN IDENTITIES
Geometry	Simson and pedal geometry	midpoints in Simson-type setup	projection; cyclicity; directed angle	Simson line	collinearity proof	MIDPOINTS/SIMSON FLAVOR; ORTHOCENTER/SIMSON FLAVOR; PROJECTIONS/SIMSON
Algebra	Equations, substitutions, and transformations	minimum identity	min decomposition; case split	min/max identity	reformulation	MIN IDENTITY; MIN-DECOMPOSITION; MIN-MAX DECOMPOSITION
Algebra	Inequalities and optimization	minimum/maximum bound	min-max bounding; smoothing; equality cases	AM-GM; Cauchy when applicable	upper/lower bound; optimization	MIN-MAX BOUNDING; OPTIMAL CONSTANT/EQUALITY CASES; OPTIMIZATION OVER BOX; OPTIMIZATION PARAMETER; OPTIMIZATION UNDER PAIRWISE CONSTRAINTS; OPTIMIZATION UNDER PRODUCT CONSTRAINT
Algebra	Extremal methods, monotonicity, and invariants	minimal element	minimal counterexample; descent; extremal choice	well-ordering principle	contradiction; descent	MINIMAL GROWTH; MINIMAL IMAGE ELEMENT; MINIMAL INTERVAL; MINIMALITY; MINIMUM MODULUS IDEA; ORDERING ARGUMENT; ORDERING ARGUMENTS
Algebra	Polynomials and algebraic manipulation	minimal polynomial	degree; divisibility; irreducibility	minimal polynomial	classification; algebraic reduction	MINIMAL POLYNOMIAL
Algebra	Algebraic structures and linear algebra	minimal rank/idempotent	rank; kernel-image; matrix factorization	rank-nullity; idempotent lemma	structure proof	MINIMAL-RANK IDEMPOTENT; RANK / KERNEL / IMAGE; RANK A = RANK A^2; RANK ONE; RANK FACTORIZATION
Combinatorics	Graph theory	cut; vertex cut	min-cut; connectivity; flow-duality	max-flow min-cut; Menger when applicable	separation; obstruction	MIN-CUT; MINIMAL CUTS; MINIMAL VERTEX CUTS; NETWORK FLOW
Combinatorics	Set systems, posets, and extremal set theory	support-minimal family	minimal support; inclusion-minimality	Sperner/Dilworth when applicable	minimal counterexample	MINIMAL SUPPORTS; MINIMALITY ARGUMENTS; ORDER IDEALS
Combinatorics	Game strategy and invariants	misère game position	strategy stealing; parity; invariant	normal/misère play	winning strategy	MISERE PLAY; PARITY/NORMAL PLAY; NIMBERS; PEG SOLITAIRE; PROCESS GAMES; POSITIONAL GAME; PURSUIT GAME; PURSUIT STRATEGY; PURSUIT/EVASION; PURSUIT–EVASION
Geometry	Convexity and metric geometry	Minkowski sum	convexity; vector addition	Minkowski sum	construction; containment	MINKOWSKI SUM
Algebra	Inequalities and optimization	triangle inequality	norm inequality; Minkowski inequality	Minkowski inequality; triangle inequality	bounding	MINKOWSKI/TRIANGLE INEQUALITY; NORM INEQUALITY; NORM COMPARISON; NORM ESTIMATES
Geometry	Circle geometry	Miquel point/configuration	cyclic quadrilaterals; radical axis; spiral similarity	Miquel theorem	angle chase; concurrence	MIQUEL / RADICAL CENTERS; MIQUEL CONFIGURATIONS; MIQUEL FLAVOR; MIQUEL STRUCTURES; MIQUEL-LIKE POINTS; MIQUEL-STYLE CIRCLES; MIQUEL-STYLE GEOMETRY; MIQUEL-TYPE CONCURRENCE; MIQUEL-TYPE CONCURRENCY; MIQUEL-TYPE STRUCTURE; MIQUEL/CIRCLE INTERSECTIONS; MIQUEL/CYCLIC GEOMETRY; MIQUEL/POWER; MIQUEL/RADICAL AXES; MIQUEL/TANGENCY
Geometry	Circle geometry	complete quadrilateral Miquel point	spiral similarity; cyclicity; radical center	Miquel theorem	concurrence; cyclic proof	MIQUEL/COMPLETE QUADRILATERAL
Geometry	Projective and advanced geometry	projective Miquel setup	homography; projective map; polarity	La Hire; pole-polar; Miquel theorem	projective reduction	MIQUEL/PROJECTIVE; MIQUEL/PROJECTIVE FLAVOR; MIQUEL/POLARITY; MIQUEL/LA HIRE; MIQUEL/COAXAL GEOMETRY
Geometry	Triangle centers and advanced configurations	Miquel with isogonal/Brocard/90-degree setup	isogonal conjugation; Brocard geometry; orthogonality	Miquel theorem	configuration identification	MIQUEL/ISOGONAL CONJUGATION; MIQUEL/BROKARD; MIQUEL/90°+A CONFIGURATION
